sku,date,quantity,is_promotional,region
SKU-A,2024-03-23,81.7,True,default
SKU-B,2024-03-23,26.2,False,default
SKU-C,2024-03-23,125.5,False,default
SKU-A,2024-03-24,50.7,True,default
SKU-B,2024-03-24,3.8,False,default
SKU-C,2024-03-24,63.8,False,default
SKU-A,2024-03-25,156.3,False,default
SKU-B,2024-03-25,92.8,False,default
SKU-C,2024-03-25,167.2,False,default
SKU-A,2024-03-26,117.7,False,default
SKU-B,2024-03-26,95.5,False,default
SKU-C,2024-03-26,188.4,False,default
SKU-A,2024-03-27,132.2,False,default
SKU-B,2024-03-27,90.9,False,default
SKU-C,2024-03-27,183.8,False,default
SKU-A,2024-03-28,125.2,False,default
SKU-B,2024-03-28,51.1,False,default
SKU-C,2024-03-28,182.2,False,default
SKU-A,2024-03-29,110.2,False,default
SKU-B,2024-03-29,63.0,False,default
SKU-C,2024-03-29,228.6,False,default
SKU-A,2024-03-30,29.4,False,default
SKU-B,2024-03-30,29.3,False,default
SKU-C,2024-03-30,87.1,False,default
SKU-A,2024-03-31,47.2,False,default
SKU-B,2024-03-31,2.6,False,default
SKU-C,2024-03-31,71.2,False,default
SKU-A,2024-04-01,128.5,False,default
SKU-B,2024-04-01,75.1,False,default
SKU-C,2024-04-01,222.9,False,default
SKU-A,2024-04-02,131.8,False,default
SKU-B,2024-04-02,79.3,False,default
SKU-C,2024-04-02,214.0,False,default
SKU-A,2024-04-03,123.6,False,default
SKU-B,2024-04-03,86.8,False,default
SKU-C,2024-04-03,229.7,False,default
SKU-A,2024-04-04,153.8,False,default
SKU-B,2024-04-04,73.6,False,default
SKU-C,2024-04-04,267.3,False,default
SKU-A,2024-04-05,88.2,False,default
SKU-B,2024-04-05,76.2,False,default
SKU-C,2024-04-05,208.1,False,default
SKU-A,2024-04-06,56.6,False,default
SKU-B,2024-04-06,28.5,False,default
SKU-C,2024-04-06,81.1,False,default
SKU-A,2024-04-07,18.9,False,default
SKU-B,2024-04-07,11.5,False,default
SKU-C,2024-04-07,64.6,False,default
SKU-A,2024-04-08,137.5,False,default
SKU-B,2024-04-08,80.5,False,default
SKU-C,2024-04-08,240.0,False,default
SKU-A,2024-04-09,137.3,False,default
SKU-B,2024-04-09,95.9,False,default
SKU-C,2024-04-09,234.1,False,default
SKU-A,2024-04-10,120.8,False,default
SKU-B,2024-04-10,82.6,False,default
SKU-C,2024-04-10,238.0,False,default
SKU-A,2024-04-11,143.0,False,default
SKU-B,2024-04-11,88.3,False,default
SKU-C,2024-04-11,223.1,False,default
SKU-A,2024-04-12,140.1,False,default
SKU-B,2024-04-12,74.1,False,default
SKU-C,2024-04-12,212.6,False,default
SKU-A,2024-04-13,50.9,False,default
SKU-B,2024-04-13,33.5,False,default
SKU-C,2024-04-13,116.2,False,default
SKU-A,2024-04-14,39.5,False,default
SKU-B,2024-04-14,26.1,False,default
SKU-C,2024-04-14,77.2,False,default
SKU-A,2024-04-15,136.3,False,default
SKU-B,2024-04-15,96.8,False,default
SKU-C,2024-04-15,215.9,False,default
SKU-A,2024-04-16,141.4,False,default
SKU-B,2024-04-16,89.0,False,default
SKU-C,2024-04-16,226.9,False,default
SKU-A,2024-04-17,146.0,False,default
SKU-B,2024-04-17,82.5,False,default
SKU-C,2024-04-17,277.6,False,default
SKU-A,2024-04-18,122.5,False,default
SKU-B,2024-04-18,78.8,False,default
SKU-C,2024-04-18,255.1,False,default
SKU-A,2024-04-19,136.2,False,default
SKU-B,2024-04-19,88.4,False,default
SKU-C,2024-04-19,220.0,False,default
SKU-A,2024-04-20,55.3,False,default
SKU-B,2024-04-20,27.7,False,default
SKU-C,2024-04-20,93.0,False,default
SKU-A,2024-04-21,17.7,False,default
SKU-B,2024-04-21,28.2,False,default
SKU-C,2024-04-21,42.1,False,default
SKU-A,2024-04-22,127.4,False,default
SKU-B,2024-04-22,89.2,False,default
SKU-C,2024-04-22,239.9,False,default
SKU-A,2024-04-23,131.8,False,default
SKU-B,2024-04-23,84.5,False,default
SKU-C,2024-04-23,236.5,False,default
SKU-A,2024-04-24,144.5,False,default
SKU-B,2024-04-24,88.0,False,default
SKU-C,2024-04-24,219.4,False,default
SKU-A,2024-04-25,144.8,False,default
SKU-B,2024-04-25,78.9,False,default
SKU-C,2024-04-25,196.8,False,default
SKU-A,2024-04-26,116.9,False,default
SKU-B,2024-04-26,82.2,False,default
SKU-C,2024-04-26,217.3,False,default
SKU-A,2024-04-27,79.1,False,default
SKU-B,2024-04-27,46.2,False,default
SKU-C,2024-04-27,89.5,False,default
SKU-A,2024-04-28,28.3,False,default
SKU-B,2024-04-28,8.8,False,default
SKU-C,2024-04-28,46.4,False,default
SKU-A,2024-04-29,139.0,False,default
SKU-B,2024-04-29,97.9,False,default
SKU-C,2024-04-29,214.6,False,default
SKU-A,2024-04-30,151.6,False,default
SKU-B,2024-04-30,110.3,False,default
SKU-C,2024-04-30,233.3,False,default
SKU-A,2024-05-01,150.4,False,default
SKU-B,2024-05-01,102.2,False,default
SKU-C,2024-05-01,226.8,False,default
SKU-A,2024-05-02,148.2,False,default
SKU-B,2024-05-02,95.8,False,default
SKU-C,2024-05-02,240.0,False,default
SKU-A,2024-05-03,119.2,False,default
SKU-B,2024-05-03,86.6,False,default
SKU-C,2024-05-03,227.0,False,default
SKU-A,2024-05-04,80.1,False,default
SKU-B,2024-05-04,48.1,False,default
SKU-C,2024-05-04,149.5,False,default
SKU-A,2024-05-05,17.7,False,default
SKU-B,2024-05-05,28.0,False,default
SKU-C,2024-05-05,52.6,False,default
SKU-A,2024-05-06,179.6,False,default
SKU-B,2024-05-06,88.8,False,default
SKU-C,2024-05-06,219.6,False,default
SKU-A,2024-05-07,138.2,False,default
SKU-B,2024-05-07,75.9,False,default
SKU-C,2024-05-07,228.2,False,default
SKU-A,2024-05-08,136.3,False,default
SKU-B,2024-05-08,99.0,False,default
SKU-C,2024-05-08,250.6,False,default
SKU-A,2024-05-09,176.3,False,default
SKU-B,2024-05-09,107.3,False,default
SKU-C,2024-05-09,228.4,False,default
SKU-A,2024-05-10,120.2,False,default
SKU-B,2024-05-10,93.2,False,default
SKU-C,2024-05-10,186.1,False,default
SKU-A,2024-05-11,87.1,False,default
SKU-B,2024-05-11,51.1,False,default
SKU-C,2024-05-11,85.9,False,default
SKU-A,2024-05-12,4.2,False,default
SKU-B,2024-05-12,33.3,False,default
SKU-C,2024-05-12,46.1,False,default
SKU-A,2024-05-13,168.5,False,default
SKU-B,2024-05-13,83.0,False,default
SKU-C,2024-05-13,230.6,False,default
SKU-A,2024-05-14,150.4,False,default
SKU-B,2024-05-14,99.7,False,default
SKU-C,2024-05-14,235.0,False,default
SKU-A,2024-05-15,160.1,False,default
SKU-B,2024-05-15,88.8,False,default
SKU-C,2024-05-15,243.3,False,default
SKU-A,2024-05-16,153.0,False,default
SKU-B,2024-05-16,104.9,False,default
SKU-C,2024-05-16,265.3,False,default
SKU-A,2024-05-17,119.5,False,default
SKU-B,2024-05-17,74.6,False,default
SKU-C,2024-05-17,255.3,False,default
SKU-A,2024-05-18,65.8,False,default
SKU-B,2024-05-18,32.6,False,default
SKU-C,2024-05-18,138.3,False,default
SKU-A,2024-05-19,32.2,False,default
SKU-B,2024-05-19,31.9,False,default
SKU-C,2024-05-19,51.6,False,default
SKU-A,2024-05-20,183.7,False,default
SKU-B,2024-05-20,118.3,False,default
SKU-C,2024-05-20,243.8,False,default
SKU-A,2024-05-21,167.7,False,default
SKU-B,2024-05-21,107.4,False,default
SKU-C,2024-05-21,284.8,False,default
SKU-A,2024-05-22,139.1,False,default
SKU-B,2024-05-22,108.1,False,default
SKU-C,2024-05-22,277.7,False,default
SKU-A,2024-05-23,127.5,False,default
SKU-B,2024-05-23,89.6,False,default
SKU-C,2024-05-23,200.8,False,default
SKU-A,2024-05-24,134.8,False,default
SKU-B,2024-05-24,98.7,False,default
SKU-C,2024-05-24,264.7,False,default
SKU-A,2024-05-25,63.0,False,default
SKU-B,2024-05-25,57.1,False,default
SKU-C,2024-05-25,66.7,False,default
SKU-A,2024-05-26,5.4,False,default
SKU-B,2024-05-26,19.9,False,default
SKU-C,2024-05-26,60.3,False,default
SKU-A,2024-05-27,154.8,False,default
SKU-B,2024-05-27,81.7,False,default
SKU-C,2024-05-27,251.7,False,default
SKU-A,2024-05-28,136.1,False,default
SKU-B,2024-05-28,109.3,False,default
SKU-C,2024-05-28,263.6,False,default
SKU-A,2024-05-29,141.9,False,default
SKU-B,2024-05-29,97.7,False,default
SKU-C,2024-05-29,228.5,False,default
SKU-A,2024-05-30,155.4,False,default
SKU-B,2024-05-30,112.5,False,default
SKU-C,2024-05-30,230.8,False,default
SKU-A,2024-05-31,148.5,False,default
SKU-B,2024-05-31,87.6,False,default
SKU-C,2024-05-31,210.5,False,default
SKU-A,2024-06-01,61.2,False,default
SKU-B,2024-06-01,31.0,False,default
SKU-C,2024-06-01,88.7,False,default
SKU-A,2024-06-02,13.5,False,default
SKU-B,2024-06-02,40.4,False,default
SKU-C,2024-06-02,52.3,False,default
SKU-A,2024-06-03,147.0,False,default
SKU-B,2024-06-03,105.9,False,default
SKU-C,2024-06-03,460.3,True,default
SKU-A,2024-06-04,154.5,False,default
SKU-B,2024-06-04,110.1,False,default
SKU-C,2024-06-04,482.8,True,default
SKU-A,2024-06-05,150.1,False,default
SKU-B,2024-06-05,98.3,False,default
SKU-C,2024-06-05,457.8,True,default
SKU-A,2024-06-06,123.8,False,default
SKU-B,2024-06-06,89.1,False,default
SKU-C,2024-06-06,499.5,True,default
SKU-A,2024-06-07,167.4,False,default
SKU-B,2024-06-07,91.5,False,default
SKU-C,2024-06-07,433.8,True,default
SKU-A,2024-06-08,68.2,False,default
SKU-B,2024-06-08,72.6,False,default
SKU-C,2024-06-08,214.7,True,default
SKU-A,2024-06-09,29.9,False,default
SKU-B,2024-06-09,11.4,False,default
SKU-C,2024-06-09,53.3,True,default
SKU-A,2024-06-10,162.3,False,default
SKU-B,2024-06-10,97.3,False,default
SKU-C,2024-06-10,432.4,True,default
SKU-A,2024-06-11,149.8,False,default
SKU-B,2024-06-11,94.2,False,default
SKU-C,2024-06-11,510.7,True,default
SKU-A,2024-06-12,172.9,False,default
SKU-B,2024-06-12,105.1,False,default
SKU-C,2024-06-12,506.1,True,default
SKU-A,2024-06-13,161.1,False,default
SKU-B,2024-06-13,96.7,False,default
SKU-C,2024-06-13,507.7,True,default
SKU-A,2024-06-14,152.2,False,default
SKU-B,2024-06-14,84.5,False,default
SKU-C,2024-06-14,418.4,True,default
SKU-A,2024-06-15,51.0,False,default
SKU-B,2024-06-15,28.4,False,default
SKU-C,2024-06-15,211.4,True,default
SKU-A,2024-06-16,60.7,False,default
SKU-B,2024-06-16,7.1,False,default
SKU-C,2024-06-16,108.3,True,default
SKU-A,2024-06-17,150.9,False,default
SKU-B,2024-06-17,100.9,False,default
SKU-C,2024-06-17,456.8,True,default
SKU-A,2024-06-18,147.9,False,default
SKU-B,2024-06-18,106.3,False,default
SKU-C,2024-06-18,451.2,True,default
SKU-A,2024-06-19,165.0,False,default
SKU-B,2024-06-19,105.4,False,default
SKU-C,2024-06-19,466.4,True,default
SKU-A,2024-06-20,147.5,False,default
SKU-B,2024-06-20,100.2,False,default
SKU-C,2024-06-20,491.6,True,default
SKU-A,2024-06-21,152.6,False,default
SKU-B,2024-06-21,85.7,False,default
SKU-C,2024-06-21,428.3,True,default
SKU-A,2024-06-22,75.8,False,default
SKU-B,2024-06-22,25.8,False,default
SKU-C,2024-06-22,202.9,True,default
SKU-A,2024-06-23,22.4,False,default
SKU-B,2024-06-23,27.0,False,default
SKU-C,2024-06-23,75.7,True,default
SKU-A,2024-06-24,134.5,False,default
SKU-B,2024-06-24,90.0,False,default
SKU-C,2024-06-24,264.5,False,default
SKU-A,2024-06-25,165.6,False,default
SKU-B,2024-06-25,97.3,False,default
SKU-C,2024-06-25,279.4,False,default
SKU-A,2024-06-26,136.9,False,default
SKU-B,2024-06-26,105.7,False,default
SKU-C,2024-06-26,233.3,False,default
SKU-A,2024-06-27,152.1,False,default
SKU-B,2024-06-27,106.9,False,default
SKU-C,2024-06-27,242.1,False,default
SKU-A,2024-06-28,140.0,False,default
SKU-B,2024-06-28,105.9,False,default
SKU-C,2024-06-28,222.9,False,default
SKU-A,2024-06-29,77.3,False,default
SKU-B,2024-06-29,31.3,False,default
SKU-C,2024-06-29,118.8,False,default
SKU-A,2024-06-30,54.0,False,default
SKU-B,2024-06-30,0.0,False,default
SKU-C,2024-06-30,32.8,False,default
SKU-A,2024-07-01,170.8,False,default
SKU-B,2024-07-01,104.5,False,default
SKU-C,2024-07-01,273.1,False,default
SKU-A,2024-07-02,153.1,False,default
SKU-B,2024-07-02,107.4,False,default
SKU-C,2024-07-02,260.0,False,default
SKU-A,2024-07-03,179.7,False,default
SKU-B,2024-07-03,109.1,False,default
SKU-C,2024-07-03,272.3,False,default
SKU-A,2024-07-04,156.0,False,default
SKU-B,2024-07-04,101.7,False,default
SKU-C,2024-07-04,253.1,False,default
SKU-A,2024-07-05,151.9,False,default
SKU-B,2024-07-05,91.7,False,default
SKU-C,2024-07-05,244.7,False,default
SKU-A,2024-07-06,96.0,False,default
SKU-B,2024-07-06,51.3,False,default
SKU-C,2024-07-06,97.4,False,default
SKU-A,2024-07-07,50.5,False,default
SKU-B,2024-07-07,17.2,False,default
SKU-C,2024-07-07,1.8,False,default
SKU-A,2024-07-08,147.0,False,default
SKU-B,2024-07-08,87.8,False,default
SKU-C,2024-07-08,254.9,False,default
SKU-A,2024-07-09,162.4,False,default
SKU-B,2024-07-09,123.3,False,default
SKU-C,2024-07-09,271.8,False,default
SKU-A,2024-07-10,158.8,False,default
SKU-B,2024-07-10,114.8,False,default
SKU-C,2024-07-10,208.2,False,default
SKU-A,2024-07-11,165.6,False,default
SKU-B,2024-07-11,114.1,False,default
SKU-C,2024-07-11,226.4,False,default
SKU-A,2024-07-12,162.9,False,default
SKU-B,2024-07-12,99.1,False,default
SKU-C,2024-07-12,226.6,False,default
SKU-A,2024-07-13,74.3,False,default
SKU-B,2024-07-13,65.2,False,default
SKU-C,2024-07-13,109.8,False,default
SKU-A,2024-07-14,36.1,False,default
SKU-B,2024-07-14,16.7,False,default
SKU-C,2024-07-14,31.3,False,default
SKU-A,2024-07-15,174.2,False,default
SKU-B,2024-07-15,97.6,False,default
SKU-C,2024-07-15,264.6,False,default
SKU-A,2024-07-16,154.5,False,default
SKU-B,2024-07-16,110.9,False,default
SKU-C,2024-07-16,270.9,False,default
SKU-A,2024-07-17,177.1,False,default
SKU-B,2024-07-17,101.0,False,default
SKU-C,2024-07-17,255.7,False,default
SKU-A,2024-07-18,146.7,False,default
SKU-B,2024-07-18,101.5,False,default
SKU-C,2024-07-18,271.6,False,default
SKU-A,2024-07-19,156.5,False,default
SKU-B,2024-07-19,86.1,False,default
SKU-C,2024-07-19,257.5,False,default
SKU-A,2024-07-20,84.8,False,default
SKU-B,2024-07-20,46.5,False,default
SKU-C,2024-07-20,151.6,False,default
SKU-A,2024-07-21,20.6,False,default
SKU-B,2024-07-21,8.7,False,default
SKU-C,2024-07-21,7.8,False,default
SKU-A,2024-07-22,183.3,False,default
SKU-B,2024-07-22,112.1,False,default
SKU-C,2024-07-22,259.8,False,default
SKU-A,2024-07-23,164.9,False,default
SKU-B,2024-07-23,94.2,False,default
SKU-C,2024-07-23,322.0,False,default
SKU-A,2024-07-24,162.5,False,default
SKU-B,2024-07-24,106.5,False,default
SKU-C,2024-07-24,278.7,False,default
SKU-A,2024-07-25,167.6,False,default
SKU-B,2024-07-25,107.5,False,default
SKU-C,2024-07-25,240.5,False,default
SKU-A,2024-07-26,151.3,False,default
SKU-B,2024-07-26,113.4,False,default
SKU-C,2024-07-26,267.6,False,default
SKU-A,2024-07-27,87.9,False,default
SKU-B,2024-07-27,36.9,False,default
SKU-C,2024-07-27,79.1,False,default
SKU-A,2024-07-28,30.1,False,default
SKU-B,2024-07-28,21.5,False,default
SKU-C,2024-07-28,79.2,False,default
SKU-A,2024-07-29,134.2,False,default
SKU-B,2024-07-29,120.0,False,default
SKU-C,2024-07-29,254.9,False,default
SKU-A,2024-07-30,153.0,False,default
SKU-B,2024-07-30,94.4,False,default
SKU-C,2024-07-30,217.1,False,default
SKU-A,2024-07-31,171.5,False,default
SKU-B,2024-07-31,105.1,False,default
SKU-C,2024-07-31,225.8,False,default
SKU-A,2024-08-01,139.5,False,default
SKU-B,2024-08-01,100.9,False,default
SKU-C,2024-08-01,299.4,False,default
SKU-A,2024-08-02,138.9,False,default
SKU-B,2024-08-02,78.6,False,default
SKU-C,2024-08-02,225.4,False,default
SKU-A,2024-08-03,59.3,False,default
SKU-B,2024-08-03,14.6,False,default
SKU-C,2024-08-03,101.4,False,default
SKU-A,2024-08-04,28.2,False,default
SKU-B,2024-08-04,27.7,False,default
SKU-C,2024-08-04,97.5,False,default
SKU-A,2024-08-05,174.8,False,default
SKU-B,2024-08-05,100.8,False,default
SKU-C,2024-08-05,228.2,False,default
SKU-A,2024-08-06,196.3,False,default
SKU-B,2024-08-06,103.9,False,default
SKU-C,2024-08-06,255.8,False,default
SKU-A,2024-08-07,157.0,False,default
SKU-B,2024-08-07,105.1,False,default
SKU-C,2024-08-07,251.3,False,default
SKU-A,2024-08-08,148.5,False,default
SKU-B,2024-08-08,97.5,False,default
SKU-C,2024-08-08,253.6,False,default
SKU-A,2024-08-09,133.0,False,default
SKU-B,2024-08-09,85.4,False,default
